name,type,Effect,Sum Sq,Df,F value,Pr(>F)
FDis,With,evenness,0.33248681264964386,1,43.821713344651755,9.342719933142661e-11
FDis,With,richness,0.0451709796381472,1,5.953528518695998,0.015036319616275672
FDis,With,Residuals,3.770869125705705,497,NA,NA
FDis,Without,richness,0.3009957549513542,1,36.53007153599587,2.9490537839278698e-9
FDis,Without,Residuals,4.1033559383553495,498,NA,NA
FDiv,With,evenness,0.0012674877011553676,1,0.27634179409058535,0.5993434807460799
FDiv,With,richness,1.3539863964506793e-4,1,0.029520052117930785,0.8636536903839527
FDiv,With,Residuals,2.279573343392718,497,NA,NA
FDiv,Without,richness,3.375912072067777e-5,1,0.00737098437107275,0.9316166374643472
FDiv,Without,Residuals,2.280840831093874,498,NA,NA
FEve,With,evenness,0.05885709421698615,1,19.842960172845704,1.0394171120605491e-5
FEve,With,richness,4.1991325007662006e-4,1,0.1415686929191938,0.7068870358308107
FEve,With,Residuals,1.474173992742891,497,NA,NA
FEve,Without,richness,0.011287819051240433,1,3.6668101092883174,0.05607888917837911
FEve,Without,Residuals,1.5330310869598773,498,NA,NA
